Heating,Lighting,Cooling,Plug,Ventilation,Other,Consumption,Location,Number of Room,Occupants,Temperature,Humidity,Precipitation,Cloudcover,Visibility,Solarradiation,Solarenergy,Uvindex,Dayindex
8.0,25.5,32.75,20.3125,79.125,0.0,165.6875,"G-Salle des forums, G-1B016-Projet-Vie étudiante, G-1D003-Salle du Conseil, G-4D006, G-4D008",5.0,120.0,18.9,59.82,0.0,52.3,23.8,584.0,2.1,6.0,0.651
7.75,26.9375,48.0625,21.5625,110.875,0.0,215.1875,"G-Salle des forums, G-1B016-Projet-Vie étudiante",2.0,10.0,18.4,61.7,0.0,91.2,23.2,438.0,1.6,4.0,0.651
7.5,27.6875,33.25,20.4375,68.25,0.0,157.125,"G-Salle des forums, G-1B016-Projet-Vie étudiante, G-1D003-Salle du Conseil, G-4D008",4.0,86.0,20.0,60.21,0.0,82.7,24.9,484.0,1.7,5.0,0.651
7.25,30.6875,41.625,21.6875,75.5,0.0,176.75,"G-Salle des forums, G-1B016-Projet-Vie étudiante, G-1D003-Salle du Conseil, G-4D008, G-0B007-Amphi Bergès",5.0,236.0,19.8,57.87,0.0,85.2,23.0,306.0,1.1,3.0,0.651
7.25,32.0,39.0625,19.1875,100.625,0.0,198.125,"G-Salle des forums, G-1B016-Projet-Vie étudiante, G-0B007-Amphi Bergès",3.0,160.0,19.7,59.87,0.0,83.0,21.2,226.0,0.8,2.0,0.651
6.0,26.75,39.1875,19.25,59.625,0.0,150.8125,"G-Salle des forums, G-1B016-Projet-Vie étudiante",2.0,10.0,19.9,60.68,0.0,84.0,17.4,221.0,0.8,2.0,0.651
6.25,24.5625,44.3125,17.0,73.75,0.0,165.875,"G-Salle des forums, G-1B016-Projet-Vie étudiante",2.0,10.0,21.0,55.03,0.0,57.0,22.6,356.0,1.3,4.0,0.651
5.75,20.4375,38.125,16.375,79.0,0.0,159.6875,G-Salle des forums,1.0,0.0,20.9,53.81,0.0,84.0,22.5,397.0,1.4,4.0,0.651
6.0,12.8125,28.8125,14.0625,85.25,0.0,146.9375,G-Salle des forums,1.0,0.0,20.6,58.18,0.0,83.0,28.3,82.0,0.3,1.0,0.651
5.25,7.75,35.1875,13.0,60.25,0.0,121.4375,G-Salle des forums,1.0,0.0,19.3,69.71,0.0,83.0,32.4,22.0,0.1,0.0,0.651
6.0,5.3125,27.1875,10.875,48.625,0.0,98.0,0,0.0,0.0,18.3,71.32,0.0,22.2,30.7,0.0,0.0,0.0,0.651
5.0,4.5625,31.0625,10.0625,39.25,0.0,89.9375,0,0.0,0.0,17.9,77.68,0.0,42.6,32.4,0.0,0.0,0.0,0.651
5.5,3.9375,28.8125,9.875,17.5,0.0,65.625,0,0.0,0.0,17.6,77.89,0.0,86.4,31.6,0.0,0.0,0.0,0.651
5.25,4.0625,24.875,8.5625,6.625,0.0,49.375,0,0.0,0.0,16.8,81.82,0.0,58.7,29.0,0.0,0.0,0.0,0.644
5.0,3.0625,32.8125,10.9375,6.5,0.0,58.3125,0,0.0,0.0,14.6,86.53,0.0,3.1,27.4,0.0,0.0,0.0,0.644
5.25,4.0625,25.1875,9.1875,6.125,0.0,49.8125,0,0.0,0.0,13.4,89.76,0.0,0.0,27.4,0.0,0.0,0.0,0.644
4.75,4.5,33.8125,8.0,4.5,0.0,55.5625,0,0.0,0.0,13.0,92.4,0.0,0.0,20.5,0.0,0.0,0.0,0.644
5.0,3.6875,27.625,8.75,12.375,0.0,57.4375,0,0.0,0.0,12.0,91.67,0.0,0.0,21.2,0.0,0.0,0.0,0.644
5.25,4.6875,31.4375,10.9375,28.25,0.0,80.5625,0,0.0,0.0,11.8,93.8,0.0,0.0,18.0,0.0,0.0,0.0,0.644
5.25,6.375,24.0625,11.625,64.75,0.0,112.0625,0,0.0,0.0,11.6,93.53,0.0,0.0,14.9,0.0,0.0,0.0,0.644
6.5,7.875,32.5625,12.125,71.25,0.0,130.3125,G-Salle des forums,1.0,0.0,10.8,96.34,0.0,0.0,14.9,32.5,0.1,0.0,0.644
6.5,17.0,24.125,15.4375,91.375,0.0,154.4375,"G-Salle des forums, G-2B009, G-0B007-Amphi Bergès, G-1C002-Amphi Coulomb, G-1A002-Amphi Ampère, G-1D003-Salle du Conseil, G-1B016-Projet-Vie étudiante, G-1B008-Projet-Vie étudiante, G-3D003-info, G-3B001-info, G-2C005-info, G-2B001-info",12.0,662.0,11.5,96.23,0.0,0.1,15.1,28.0,0.1,0.0,0.644
8.5,25.4375,29.375,23.875,90.125,0.0,177.3125,"G-Salle des forums, G-2B009, G-0B007-Amphi Bergès, G-1C002-Amphi Coulomb, G-1A002-Amphi Ampère, G-1D003-Salle du Conseil, G-1B016-Projet-Vie étudiante, G-1B008-Projet-Vie étudiante, G-3D003-info, G-3B001-info, G-2C005-info, G-2B001-info, G-2A005",13.0,691.0,14.5,86.16,0.0,0.2,21.1,202.0,0.7,2.0,0.644
8.5,28.75,30.9375,23.4375,97.0,0.0,188.625,"G-Salle des forums, G-1D003-Salle du Conseil, G-1B016-Projet-Vie étudiante, G-1B008-Projet-Vie étudiante, G-5D003-Electronique & instrumentation associée, G-3D003-info, G-3B001-info, G-4D008",8.0,148.0,17.0,71.47,0.0,0.8,22.3,399.0,1.4,4.0,0.644
7.5,29.6875,49.625,24.5625,74.25,0.0,185.625,"G-Salle des forums, G-1B016-Projet-Vie étudiante, G-1B008-Projet-Vie étudiante, G-3D003-info, G-3B001-info, G-4D008, G-5D003-Electronique & instrumentation associée",7.0,108.0,19.2,63.02,0.0,2.4,19.8,571.0,2.1,6.0,0.644
7.5,33.8125,50.0,25.0,77.0,0.0,193.3125,"G-Salle des forums, G-1B016-Projet-Vie étudiante, G-1B008-Projet-Vie étudiante, G-5D003-Electronique & instrumentation associée",4.0,36.0,20.6,60.61,0.0,5.7,18.0,701.0,2.5,7.0,0.644
7.0,29.5,99.125,19.5625,62.125,0.0,217.3125,"G-Salle des forums, G-1B016-Projet-Vie étudiante, G-1B008-Projet-Vie étudiante, G-4D006, G-2A007-info, G-2B001-info, G-2C005-info, G-3A014-info, G-3B001-info, G-3D003-info, G-4D008",11.0,202.0,22.1,53.38,0.0,21.7,26.5,783.0,2.8,8.0,0.644
