Date,Hour,Location,Duration,Capacity
2022-09-01,07:00,"G-2A004, G-2A005, G-2B002, G-2B012, G-2B013, G-2C001, G-2C002, G-2C003, G-2C004, G-2C007, G-2C008, G-4D001-Projet, G-4D005-Projet, G-4D007-Projet, G-4D009-Projet, G-4D010-Projet",16,442
2022-09-01,08:00,"G-2A004, G-2A005, G-2B002, G-2B012, G-2B013, G-2C001, G-2C002, G-2C003, G-2C004, G-2C007, G-2C008, G-4D001-Projet, G-4D005-Projet, G-4D007-Projet, G-4D009-Projet, G-4D010-Projet, G-4D008 TD-info, G-4D003, G-0B007-Amphi Bergès",19,664
2022-09-01,09:00,"G-2A004, G-2A005, G-2B002, G-2B012, G-2B013, G-2C001, G-2C002, G-2C003, G-2C004, G-2C007, G-2C008, G-4D001-Projet, G-4D005-Projet, G-4D007-Projet, G-4D009-Projet, G-4D010-Projet, G-4D008 TD-info, G-4D003, G-0B007-Amphi Bergès, G-0D006-Salle des forums, G-1C004",21,778
2022-09-01,10:00,"G-2A004, G-2A005, G-2B002, G-2B012, G-2B013, G-2C001, G-2C002, G-2C003, G-2C004, G-2C007, G-2C008, G-4D001-Projet, G-4D005-Projet, G-4D007-Projet, G-4D009-Projet, G-4D010-Projet, G-0B007-Amphi Bergès, G-0D006-Salle des forums, G-1C004, G-4D008 TD-info, G-4D003, G-1C003",22,788
2022-09-01,11:00,"G-2A004, G-2A005, G-2B002, G-2B012, G-2B013, G-2C001, G-2C002, G-2C003, G-2C004, G-2C007, G-2C008, G-4D001-Projet, G-4D005-Projet, G-4D007-Projet, G-4D009-Projet, G-4D010-Projet, G-0D006-Salle des forums, G-1C004, G-4D008 TD-info, G-4D003, G-1C003",21,638
2022-09-01,12:00,"G-2A004, G-2A005, G-2B002, G-2B012, G-2B013, G-2C001, G-2C002, G-2C003, G-2C004, G-2C007, G-2C008, G-4D001-Projet, G-4D005-Projet, G-4D007-Projet, G-4D009-Projet, G-4D010-Projet, G-0D006-Salle des forums, G-1C004",18,556
2022-09-01,13:00,"G-2A004, G-2A005, G-2B002, G-2B012, G-2B013, G-2C001, G-2C002, G-2C003, G-2C004, G-2C007, G-2C008, G-4D001-Projet, G-4D005-Projet, G-4D007-Projet, G-4D009-Projet, G-4D010-Projet, G-0D006-Salle des forums, G-1B016-Projet-Vie étudiante, G-1D003-Salle du Conseil, G-2A007-info, G-2B009",21,694
2022-09-01,14:00,"G-2A004, G-2A005, G-2B002, G-2B012, G-2B013, G-2C001, G-2C002, G-2C003, G-2C004, G-2C007, G-2C008, G-4D001-Projet, G-4D005-Projet, G-4D007-Projet, G-4D009-Projet, G-4D010-Projet, G-1B016-Projet-Vie étudiante, G-1D003-Salle du Conseil, G-2A007-info, G-1C003, G-1C004, G-2B009",22,618
2022-09-01,15:00,"G-2A004, G-2A005, G-2B002, G-2B012, G-2B013, G-2C001, G-2C002, G-2C003, G-2C004, G-2C007, G-2C008, G-4D001-Projet, G-4D005-Projet, G-4D007-Projet, G-4D009-Projet, G-4D010-Projet, G-1B016-Projet-Vie étudiante, G-1D003-Salle du Conseil, G-1C003, G-4D003",20,538
2022-09-01,16:00,"G-2A004, G-2A005, G-2B002, G-2B012, G-2B013, G-2C001, G-2C002, G-2C003, G-2C004, G-2C007, G-2C008, G-4D001-Projet, G-4D005-Projet, G-4D007-Projet, G-4D009-Projet, G-4D010-Projet, G-1D003-Salle du Conseil, G-4D003, G-1C004",19,532
2022-09-01,17:00,"G-2A004, G-2A005, G-2B002, G-2B012, G-2B013, G-2C001, G-2C002, G-2C003, G-2C004, G-2C007, G-2C008, G-4D001-Projet, G-4D005-Projet, G-4D007-Projet, G-4D009-Projet, G-4D010-Projet",16,442
2022-09-02,07:00,"G-2A004, G-2A005, G-2B002, G-2B012, G-2B013, G-2C001, G-2C002, G-2C003, G-2C004, G-2C007, G-2C008, G-4D001-Projet, G-4D005-Projet, G-4D007-Projet, G-4D009-Projet, G-4D010-Projet",16,442
2022-09-02,08:00,"G-2A004, G-2A005, G-2B002, G-2B012, G-2B013, G-2C001, G-2C002, G-2C003, G-2C004, G-2C007, G-2C008, G-4D001-Projet, G-4D005-Projet, G-4D007-Projet, G-4D009-Projet, G-4D010-Projet, G-2B010, G-2B009, G-4D003",19,638
2022-09-02,09:00,"G-2A004, G-2A005, G-2B002, G-2B012, G-2B013, G-2C001, G-2C002, G-2C003, G-2C004, G-2C007, G-2C008, G-4D001-Projet, G-4D005-Projet, G-4D007-Projet, G-4D009-Projet, G-4D010-Projet, G-4D003, G-2B010, G-0D006-Salle des forums, G-1C002-Amphi Coulomb, G-2B009",21,888
2022-09-02,10:00,"G-2A004, G-2A005, G-2B002, G-2B012, G-2B013, G-2C001, G-2C002, G-2C003, G-2C004, G-2C007, G-2C008, G-4D001-Projet, G-4D005-Projet, G-4D007-Projet, G-4D009-Projet, G-4D010-Projet, G-0D006-Salle des forums, G-4D008 TD-info",18,578
