Date,Hour,Location,Duration,Capacity
2022-09-02,11:00,"G-2A004, G-2A005, G-2B002, G-2B012, G-2B013, G-2C001, G-2C002, G-2C003, G-2C004, G-2C007, G-2C008, G-4D001-Projet, G-4D005-Projet, G-4D007-Projet, G-4D009-Projet, G-4D010-Projet, G-0D006-Salle des forums, G-4D008 TD-info",18,578
2022-09-02,12:00,"G-2A004, G-2A005, G-2B002, G-2B012, G-2B013, G-2C001, G-2C002, G-2C003, G-2C004, G-2C007, G-2C008, G-4D001-Projet, G-4D005-Projet, G-4D007-Projet, G-4D009-Projet, G-4D010-Projet, G-0D006-Salle des forums",17,542
2022-09-02,13:00,"G-2A004, G-2A005, G-2B002, G-2B012, G-2B013, G-2C001, G-2C002, G-2C003, G-2C004, G-2C007, G-2C008, G-4D001-Projet, G-4D005-Projet, G-4D007-Projet, G-4D009-Projet, G-4D010-Projet, G-0D006-Salle des forums, G-1B016-Projet-Vie étudiante, G-1C003, G-4D003, G-2A007-info, G-1C004",22,634
2022-09-02,14:00,"G-2A004, G-2A005, G-2B002, G-2B012, G-2B013, G-2C001, G-2C002, G-2C003, G-2C004, G-2C007, G-2C008, G-4D001-Projet, G-4D005-Projet, G-4D007-Projet, G-4D009-Projet, G-4D010-Projet, G-1B016-Projet-Vie étudiante, G-1C003, G-4D003, G-2A007-info, G-1C004",21,534
2022-09-02,15:00,"G-2A004, G-2A005, G-2B002, G-2B012, G-2B013, G-2C001, G-2C002, G-2C003, G-2C004, G-2C007, G-2C008, G-4D001-Projet, G-4D005-Projet, G-4D007-Projet, G-4D009-Projet, G-4D010-Projet, G-1B016-Projet-Vie étudiante, G-1C003, G-2A007-info",19,484
2022-09-02,16:00,"G-2A004, G-2A005, G-2B002, G-2B012, G-2B013, G-2C001, G-2C002, G-2C003, G-2C004, G-2C007, G-2C008, G-4D001-Projet, G-4D005-Projet, G-4D007-Projet, G-4D009-Projet, G-4D010-Projet, G-2A007-info",17,464
2022-09-02,17:00,"G-2A004, G-2A005, G-2B002, G-2B012, G-2B013, G-2C001, G-2C002, G-2C003, G-2C004, G-2C007, G-2C008, G-4D001-Projet, G-4D005-Projet, G-4D007-Projet, G-4D009-Projet, G-4D010-Projet",16,442
2022-09-05,07:00,"G-2A004, G-2A005, G-2B002, G-2B012, G-2B013, G-2C001, G-2C002, G-2C003, G-2C004, G-2C007, G-2C008, G-4D001-Projet, G-4D005-Projet, G-4D007-Projet, G-4D009-Projet, G-4D010-Projet, G-1A002-Amphi Ampère, G-1C002-Amphi Coulomb, G-0B007-Amphi Bergès, G-0B018-Agora",20,1113
2022-09-05,08:00,"G-2A004, G-2A005, G-2B002, G-2B012, G-2B013, G-2C001, G-2C002, G-2C003, G-2C004, G-2C007, G-2C008, G-4D001-Projet, G-4D005-Projet, G-4D007-Projet, G-4D009-Projet, G-4D010-Projet, G-1A002-Amphi Ampère, G-1C002-Amphi Coulomb, G-0B007-Amphi Bergès, G-0B018-Agora, G-3A012-Enveloppe épaisse, G-3A012-Flambement, G-3A012-Flexion 1&2, G-3A012-Plaque trouée, G-3A012-Presse Instron, G-3A012-Torsion, G-3A012-Vibration portique, G-3A012-Vibration poutre",28,1241
2022-09-05,09:00,"G-2A004, G-2A005, G-2B002, G-2B012, G-2B013, G-2C001, G-2C002, G-2C003, G-2C004, G-2C007, G-2C008, G-4D001-Projet, G-4D005-Projet, G-4D007-Projet, G-4D009-Projet, G-4D010-Projet, G-1A002-Amphi Ampère, G-1C002-Amphi Coulomb, G-0B007-Amphi Bergès, G-0B018-Agora, G-3A012-Enveloppe épaisse, G-3A012-Flambement, G-3A012-Flexion 1&2, G-3A012-Plaque trouée, G-3A012-Presse Instron, G-3A012-Torsion, G-3A012-Vibration portique, G-3A012-Vibration poutre, G-0D006-Salle des forums",29,1341
2022-09-05,10:00,"G-2A004, G-2A005, G-2B002, G-2B012, G-2B013, G-2C001, G-2C002, G-2C003, G-2C004, G-2C007, G-2C008, G-4D001-Projet, G-4D005-Projet, G-4D007-Projet, G-4D009-Projet, G-4D010-Projet, G-1A002-Amphi Ampère, G-1C002-Amphi Coulomb, G-0B007-Amphi Bergès, G-3A012-Enveloppe épaisse, G-3A012-Flambement, G-3A012-Flexion 1&2, G-3A012-Plaque trouée, G-3A012-Presse Instron, G-3A012-Torsion, G-3A012-Vibration portique, G-3A012-Vibration poutre, G-0D006-Salle des forums, G-1C004, G-2A006",30,1214
2022-09-05,11:00,"G-2A004, G-2A005, G-2B002, G-2B012, G-2B013, G-2C001, G-2C002, G-2C003, G-2C004, G-2C007, G-2C008, G-4D001-Projet, G-4D005-Projet, G-4D007-Projet, G-4D009-Projet, G-4D010-Projet, G-1A002-Amphi Ampère, G-1C002-Amphi Coulomb, G-0B007-Amphi Bergès, G-3A012-Enveloppe épaisse, G-3A012-Flambement, G-3A012-Flexion 1&2, G-3A012-Plaque trouée, G-3A012-Presse Instron, G-3A012-Torsion, G-3A012-Vibration portique, G-3A012-Vibration poutre, G-0D006-Salle des forums, G-1C004, G-2A006, G-1B012-info-vie étudiante",31,1232
2022-09-05,12:00,"G-2A004, G-2A005, G-2B002, G-2B012, G-2B013, G-2C001, G-2C002, G-2C003, G-2C004, G-2C007, G-2C008, G-4D001-Projet, G-4D005-Projet, G-4D007-Projet, G-4D009-Projet, G-4D010-Projet, G-3A012-Enveloppe épaisse, G-3A012-Flambement, G-3A012-Flexion 1&2, G-3A012-Plaque trouée, G-3A012-Presse Instron, G-3A012-Torsion, G-3A012-Vibration portique, G-3A012-Vibration poutre, G-0D006-Salle des forums, G-1B012-info-vie étudiante",26,688
2022-09-05,13:00,"G-2A004, G-2A005, G-2B002, G-2B012, G-2B013, G-2C001, G-2C002, G-2C003, G-2C004, G-2C007, G-2C008, G-4D001-Projet, G-4D005-Projet, G-4D007-Projet, G-4D009-Projet, G-4D010-Projet, G-3A012-Enveloppe épaisse, G-3A012-Flambement, G-3A012-Flexion 1&2, G-3A012-Plaque trouée, G-3A012-Presse Instron, G-3A012-Torsion, G-3A012-Vibration portique, G-3A012-Vibration poutre, G-0D006-Salle des forums, G-1B012-info-vie étudiante, G-1C004",27,702
2022-09-05,14:00,"G-2A004, G-2A005, G-2B002, G-2B012, G-2B013, G-2C001, G-2C002, G-2C003, G-2C004, G-2C007, G-2C008, G-4D001-Projet, G-4D005-Projet, G-4D007-Projet, G-4D009-Projet, G-4D010-Projet, G-3A012-Enveloppe épaisse, G-3A012-Flambement, G-3A012-Flexion 1&2, G-3A012-Plaque trouée, G-3A012-Presse Instron, G-3A012-Torsion, G-3A012-Vibration portique, G-3A012-Vibration poutre, G-1B012-info-vie étudiante, G-0B007-Amphi Bergès, G-1A002-Amphi Ampère, G-1C002-Amphi Coulomb",28,1038
2022-09-05,15:00,"G-2A004, G-2A005, G-2B002, G-2B012, G-2B013, G-2C001, G-2C002, G-2C003, G-2C004, G-2C007, G-2C008, G-4D001-Projet, G-4D005-Projet, G-4D007-Projet, G-4D009-Projet, G-4D010-Projet, G-3A012-Enveloppe épaisse, G-3A012-Flambement, G-3A012-Flexion 1&2, G-3A012-Plaque trouée, G-3A012-Presse Instron, G-3A012-Torsion, G-3A012-Vibration portique, G-3A012-Vibration poutre, G-1B012-info-vie étudiante, G-2A006, G-2B009, G-4D003, G-1C002-Amphi Coulomb, G-1A002-Amphi Ampère, G-2C006, G-0B007-Amphi Bergès",32,1314
2022-09-05,16:00,"G-2A004, G-2A005, G-2B002, G-2B012, G-2B013, G-2C001, G-2C002, G-2C003, G-2C004, G-2C007, G-2C008, G-4D001-Projet, G-4D005-Projet, G-4D007-Projet, G-4D009-Projet, G-4D010-Projet, G-3A012-Enveloppe épaisse, G-3A012-Flambement, G-3A012-Flexion 1&2, G-3A012-Plaque trouée, G-3A012-Presse Instron, G-3A012-Torsion, G-3A012-Vibration portique, G-3A012-Vibration poutre, G-4D006 TD-info",25,604
2022-09-05,17:00,"G-2A004, G-2A005, G-2B002, G-2B012, G-2B013, G-2C001, G-2C002, G-2C003, G-2C004, G-2C007, G-2C008, G-4D001-Projet, G-4D005-Projet, G-4D007-Projet, G-4D009-Projet, G-4D010-Projet, G-3A012-Enveloppe épaisse, G-3A012-Flambement, G-3A012-Flexion 1&2, G-3A012-Plaque trouée, G-3A012-Presse Instron, G-3A012-Torsion, G-3A012-Vibration portique, G-3A012-Vibration poutre",24,570
2022-09-06,07:00,"G-2A004, G-2A005, G-4D001-Projet, G-4D005-Projet, G-4D007-Projet, G-4D009-Projet, G-2A007-info, G-2B001-info, G-4D010-Projet, G-2A003, G-2B009",11,318
2022-09-06,08:00,"G-2A004, G-2A005, G-4D001-Projet, G-4D005-Projet, G-4D007-Projet, G-4D009-Projet, G-2A007-info, G-2B001-info, G-4D010-Projet, G-2A003, G-2B009, G-2C002, G-2B002, G-2B012, G-2C008, G-2C004, G-2C003, G-2C007, G-2B013, G-4D006 TD-info, G-2C001, G-0B018-Agora, G-1C004, G-4D003, G-2C006, G-5D003-Electronique & instrumentation associée, G-0B007-Amphi Bergès, G-0D006-Salle des forums",28,1293
2022-09-06,09:00,"G-2A004, G-2A005, G-4D001-Projet, G-4D005-Projet, G-4D007-Projet, G-4D009-Projet, G-2A007-info, G-2B001-info, G-4D010-Projet, G-2A003, G-2B009, G-2C002, G-2B002, G-2B012, G-2C008, G-2C004, G-2C003, G-2C007, G-2B013, G-4D006 TD-info, G-2C001, G-0B018-Agora, G-1C004, G-4D003, G-2C006, G-0D006-Salle des forums, G-5D003-Electronique & instrumentation associée, G-1C003, G-0B007-Amphi Bergès",29,1303
2022-09-06,10:00,"G-2A004, G-2A005, G-4D001-Projet, G-4D005-Projet, G-4D007-Projet, G-4D009-Projet, G-2A007-info, G-2B001-info, G-4D010-Projet, G-2A003, G-2B009, G-2C002, G-2B002, G-2B012, G-2C008, G-2C004, G-2C003, G-2C007, G-2B013, G-4D006 TD-info, G-2C001, G-0B018-Agora, G-1C004, G-0D006-Salle des forums, G-2C005-info, G-3A014-info",26,1047
2022-09-06,11:00,"G-2A004, G-2A005, G-4D001-Projet, G-4D005-Projet, G-4D007-Projet, G-4D009-Projet, G-2A007-info, G-2B001-info, G-4D010-Projet, G-2A003, G-2B009, G-2C002, G-2B002, G-2B012, G-2C008, G-2C004, G-2C003, G-2C007, G-2B013, G-4D006 TD-info, G-2C001, G-0B018-Agora, G-1C004, G-2C005-info, G-3A014-info",25,947
2022-09-06,12:00,"G-2A004, G-2A005, G-4D001-Projet, G-4D005-Projet, G-4D007-Projet, G-4D009-Projet, G-2A007-info, G-2B001-info, G-4D010-Projet, G-2A003, G-2B009, G-2C002, G-2B002, G-2B012, G-2C008, G-2C004, G-2C003, G-2C007, G-2B013, G-4D006 TD-info, G-2C001, G-0B018-Agora, G-3A014-info",23,915
2022-09-06,13:00,"G-2A004, G-2A005, G-4D001-Projet, G-4D005-Projet, G-4D007-Projet, G-4D009-Projet, G-2A007-info, G-2B001-info, G-4D010-Projet, G-2A003, G-2B009, G-2C002, G-2B002, G-2B012, G-2C008, G-2C004, G-2C003, G-2C007, G-2B013, G-4D006 TD-info, G-2C001, G-0B018-Agora, G-0D006-Salle des forums, G-1C004, G-0B007-Amphi Bergès, G-2C006, G-2A006, G-2C005-info",28,1339
2022-09-06,14:00,"G-2A004, G-2A005, G-4D001-Projet, G-4D005-Projet, G-4D007-Projet, G-4D009-Projet, G-2A007-info, G-2B001-info, G-4D010-Projet, G-2A003, G-2B009, G-2C002, G-2B002, G-2B012, G-2C008, G-2C004, G-2C003, G-2C007, G-2B013, G-4D006 TD-info, G-2C001, G-0B018-Agora, G-0D006-Salle des forums, G-2C006, G-2A006, G-2C005-info, G-1C004, G-0B007-Amphi Bergès",28,1339
2022-09-06,15:00,"G-2A004, G-2A005, G-4D001-Projet, G-4D005-Projet, G-4D007-Projet, G-4D009-Projet, G-2A007-info, G-2B001-info, G-4D010-Projet, G-2A003, G-2B009, G-2C002, G-2B002, G-2B012, G-2C008, G-2C004, G-2C003, G-2C007, G-2B013, G-4D006 TD-info, G-2C001, G-0B018-Agora, G-0D006-Salle des forums, G-2C005-info, G-2B010, G-1C004, G-1C003",27,1119
2022-09-06,16:00,"G-2A004, G-2A005, G-4D001-Projet, G-4D005-Projet, G-4D007-Projet, G-4D009-Projet, G-2A007-info, G-2B001-info, G-4D010-Projet, G-2A003, G-2B009, G-2C002, G-2B002, G-2B012, G-2C008, G-2C004, G-2C003, G-2C007, G-2B013, G-4D006 TD-info, G-2C001, G-0B018-Agora, G-2C005-info, G-2B010, G-1C003, G-5D003-Electronique & instrumentation associée, G-4D003, G-4D008 TD-info, G-5D003-Electronique & instrumentation associée",29,1109
2022-09-06,17:00,"G-2A004, G-2A005, G-4D001-Projet, G-4D005-Projet, G-4D007-Projet, G-4D009-Projet, G-2A007-info, G-2B001-info, G-4D010-Projet, G-2A003, G-2B009, G-2C002, G-2B002, G-2B012, G-2C008, G-2C004, G-2C003, G-2C007, G-2B013, G-4D006 TD-info, G-2C001, G-0B018-Agora, G-2B010, G-4D003, G-4D008 TD-info",25,1049
2022-09-06,18:00,"G-2C002, G-2B002, G-2B012, G-2C008, G-2C004, G-2C003, G-2C007, G-2B013, G-4D006 TD-info, G-2C001, G-0B018-Agora",11,579
2022-09-07,08:00,"G-2C004, G-1C003, G-1A002-Amphi Ampère, G-2C003, G-0B007-Amphi Bergès, G-2B009, G-2A003, G-2A006, G-2B010, G-1B016-Projet-Vie étudiante",10,712
2022-09-07,09:00,"G-2C004, G-1C003, G-1A002-Amphi Ampère, G-2C003, G-0B007-Amphi Bergès, G-2B009, G-2A003, G-2A006, G-2B010, G-1B016-Projet-Vie étudiante, G-1C004, G-1C002-Amphi Coulomb",12,876
2022-09-07,10:00,"G-1C004, G-1A002-Amphi Ampère, G-2C001, G-4D003, G-2B010, G-0B007-Amphi Bergès, G-3A014-info, G-3B001-info, G-4A020-info-mhi, G-2C005-info, G-2B001-info, G-2B013, G-1C003, G-3D003-info",14,620
2022-09-07,11:00,"G-1C004, G-1A002-Amphi Ampère, G-2C001, G-4D003, G-2B010, G-0B007-Amphi Bergès, G-2B013",7,502
2022-09-07,12:00,"G-1C004, G-1C003, G-0D006-Salle des forums, G-1B016-Projet-Vie étudiante",4,134
2022-09-07,13:00,"G-1C004, G-1C003, G-1B016-Projet-Vie étudiante, G-0B015-FABLAB Ense3, G-4D013-FABLAB Ense3, G-4D011-FABLAB Ense3, G-1A002-Amphi Ampère, G-0B007-Amphi Bergès, G-1C002-Amphi Coulomb, G-2C008, G-5D003-Electronique & instrumentation associée, G-2A006, G-2B013, G-2A007-info",14,764
2022-09-07,14:00,"G-1C004, G-1B016-Projet-Vie étudiante, G-0B015-FABLAB Ense3, G-4D013-FABLAB Ense3, G-4D011-FABLAB Ense3, G-1A002-Amphi Ampère, G-0B007-Amphi Bergès, G-2C008, G-5D003-Electronique & instrumentation associée, G-2A006, G-2B013, G-2A007-info, G-2C001, G-1C003, G-2B012, G-3D003-info, G-2B001-info, G-3A014-info, G-4A020-info-mhi, G-3B001-info, G-2C005-info",21,794
2022-09-07,15:00,"G-1C004, G-1B016-Projet-Vie étudiante, G-0B015-FABLAB Ense3, G-4D013-FABLAB Ense3, G-4D011-FABLAB Ense3, G-5D003-Electronique & instrumentation associée, G-2C001, G-2B012, G-1C003, G-2C008, G-1A002-Amphi Ampère",11,398
2022-09-07,16:00,"G-5D003-Electronique & instrumentation associée, G-2C001, G-2B012, G-2C008, G-1A002-Amphi Ampère, G-2A006, G-2B013, G-2A007-info, G-1C002-Amphi Coulomb",9,562
2022-09-07,17:00,"G-2A006, G-2B013, G-2A007-info, G-1C002-Amphi Coulomb, G-0B018-Agora",5,509
2022-09-07,18:00,G-0B018-Agora,1,221
2022-09-07,19:00,G-0B018-Agora,1,221
2022-09-07,20:00,G-0B018-Agora,1,221
2022-09-08,08:00,"G-1A002-Amphi Ampère, G-1C002-Amphi Coulomb, G-3A014-info, G-4C012-info-picore, G-0B007-Amphi Bergès, G-5D003-Electronique & instrumentation associée, G-2A006, G-1B012-info-vie étudiante, G-1D003-Salle du Conseil",9,640
2022-09-08,09:00,"G-1A002-Amphi Ampère, G-1C002-Amphi Coulomb, G-3A014-info, G-4C012-info-picore, G-0B007-Amphi Bergès, G-5D003-Electronique & instrumentation associée, G-2A006, G-1B012-info-vie étudiante, G-1D003-Salle du Conseil, G-1C003",10,650
2022-09-08,10:00,"G-3A014-info, G-5D003-Electronique & instrumentation associée, G-1D003-Salle du Conseil, G-1C003, G-1C002-Amphi Coulomb, G-2A006, G-1B012-info-vie étudiante, G-2A004, G-4C012-info-picore",9,379
2022-09-08,11:00,"G-3A014-info, G-5D003-Electronique & instrumentation associée, G-1D003-Salle du Conseil, G-1C003, G-2A006, G-1B012-info-vie étudiante, G-2A004, G-4C012-info-picore, G-2C001, G-2A007-info, G-4A020-info-mhi, G-2B001-info, G-3B001-info, G-3D003-info, G-2C005-info",15,377
2022-09-08,12:00,"G-1D003-Salle du Conseil, G-1C003, G-2C001",3,86
2022-09-08,13:00,"G-1C003, G-0B015-FABLAB Ense3, G-4D013-FABLAB Ense3, G-4D011-FABLAB Ense3, G-1A002-Amphi Ampère, G-3B007, G-3D003-info, G-3A014-info, G-3B008-Mécanique & Technologie 1, G-2C006, G-3D006-Construction électrique, G-2B010, G-2C001, G-2B002, G-2A005, G-2C007, G-4D003, G-4D008 TD-info, G-2A007-info, G-2B001-info",20,743
2022-09-08,14:00,"G-1C003, G-0B015-FABLAB Ense3, G-4D013-FABLAB Ense3, G-4D011-FABLAB Ense3, G-1A002-Amphi Ampère, G-3B007, G-3D003-info, G-3A014-info, G-3B008-Mécanique & Technologie 1, G-2C006, G-3D006-Construction électrique, G-2C001, G-2B002, G-2A005, G-2C007, G-4D003, G-4D008 TD-info, G-2A007-info, G-2B001-info, G-2B012, G-1C004",21,713
2022-09-08,15:00,"G-1C003, G-0B015-FABLAB Ense3, G-4D013-FABLAB Ense3, G-4D011-FABLAB Ense3, G-3B007, G-3D003-info, G-3A014-info, G-3B008-Mécanique & Technologie 1, G-2C001, G-2B002, G-2A005, G-2C007, G-4D003, G-4D008 TD-info, G-2B012, G-1C004, G-3D006-Construction électrique, G-2A003, G-2A007-info, G-2A006",20,625
2022-09-08,16:00,"G-1C003, G-3B007, G-3D003-info, G-3A014-info, G-3B008-Mécanique & Technologie 1, G-2C001, G-2B002, G-2A005, G-2C007, G-4D003, G-4D008 TD-info, G-1C004, G-3D006-Construction électrique, G-2A003, G-2A007-info, G-2A006, G-2C008",17,535
2022-09-08,17:00,"G-1C004, G-2C008, G-0D006-Salle des forums",3,150
2022-09-08,18:00,"G-0D006-Salle des forums, G-2B009",2,180
2022-09-08,19:00,"G-0D006-Salle des forums, G-2B009",2,180
2022-09-09,07:00,G-1B016-Projet-Vie étudiante,1,10
2022-09-09,08:00,"G-1B016-Projet-Vie étudiante, G-2C001, G-1A002-Amphi Ampère, G-2C004, G-2C007, G-2C002, G-2C008, G-2C003, G-2B002, G-4D003, G-2C005-info, G-2B013, G-2B012, G-5D003-Electronique & instrumentation associée, G-2A003, G-3A014-info, G-2A004",17,681
2022-09-09,09:00,"G-1B016-Projet-Vie étudiante, G-2C001, G-1A002-Amphi Ampère, G-2C004, G-2C007, G-2C002, G-2C008, G-2C003, G-2B002, G-4D003, G-2C005-info, G-2B013, G-2B012, G-5D003-Electronique & instrumentation associée, G-2A003, G-3A014-info, G-2A004, G-1C003",18,691
2022-09-09,10:00,"G-1B016-Projet-Vie étudiante, G-5D003-Electronique & instrumentation associée, G-3A014-info, G-1C003, G-2B012, G-2B013, G-2C005-info, G-2C008, G-2C003, G-2C001, G-2B002, G-1C002-Amphi Coulomb, G-2C007, G-2C004, G-2C002, G-2A004, G-2A003",17,655
2022-09-09,11:00,"G-5D003-Electronique & instrumentation associée, G-3A014-info, G-1C003, G-2B012, G-2B013, G-2C005-info, G-2C008, G-2C003, G-2C001, G-2B002, G-1C002-Amphi Coulomb, G-2C007, G-2C004, G-2C002, G-2A004, G-2A003, G-1A002-Amphi Ampère",17,795
2022-09-09,12:00,G-1C003,1,10
2022-09-09,13:00,"G-1C003, G-1B016-Projet-Vie étudiante, G-2A006, G-2A007-info, G-2B010, G-2B009, G-1A002-Amphi Ampère, G-0B007-Amphi Bergès, G-2B012, G-2A003, G-2C006, G-2C005-info, G-3A014-info, G-1C002-Amphi Coulomb",14,964
2022-09-09,14:00,"G-1C003, G-1B016-Projet-Vie étudiante, G-2A006, G-2A007-info, G-2B010, G-2B009, G-1A002-Amphi Ampère, G-0B007-Amphi Bergès, G-2B012, G-2A003, G-2C006, G-2C005-info, G-3A014-info, G-1C002-Amphi Coulomb",14,964
2022-09-09,15:00,"G-1C003, G-1B016-Projet-Vie étudiante, G-2C005-info, G-2A006, G-2A007-info, G-2B009, G-2B010",7,300
2022-09-09,16:00,"G-1C003, G-1B016-Projet-Vie étudiante, G-2C005-info, G-2A006, G-2A007-info, G-2B009, G-2B010, G-2B012, G-1A002-Amphi Ampère, G-3A014-info, G-2C006, G-2A003",12,664
2022-09-09,17:00,"G-2B012, G-1A002-Amphi Ampère, G-3A014-info, G-2C006, G-2A003",5,364
2022-09-09,18:00,"G-2A004, G-0B007-Amphi Bergès, G-2B010, G-1C002-Amphi Coulomb, G-2A003, G-1A002-Amphi Ampère, G-2B009",7,719
2022-09-09,19:00,"G-2A004, G-0B007-Amphi Bergès, G-2B010, G-1C002-Amphi Coulomb, G-2A003, G-1A002-Amphi Ampère, G-2B009",7,719
2022-09-09,20:00,"G-0B007-Amphi Bergès, G-2B010, G-1C002-Amphi Coulomb, G-2A003, G-1A002-Amphi Ampère, G-2B009",6,690
2022-09-12,08:00,"G-1C003, G-3A012-Presse Instron, G-3A012-Flexion 1&2, G-1C002-Amphi Coulomb, G-0B007-Amphi Bergès, G-2A006, G-3B012-DébitVisu, G-2A003, G-2A005, G-3B012-HydrauSys, G-5D003-Electronique & instrumentation associée, G-1D003-Salle du Conseil, G-3D003-info",13,637
2022-09-12,09:00,"G-1C003, G-3A012-Presse Instron, G-3A012-Flexion 1&2, G-1C002-Amphi Coulomb, G-0B007-Amphi Bergès, G-2A006, G-3B012-DébitVisu, G-2A003, G-2A005, G-3B012-HydrauSys, G-5D003-Electronique & instrumentation associée, G-3D003-info, G-2B010, G-2B009",14,757
2022-09-12,10:00,"G-1C003, G-3A012-Presse Instron, G-3A012-Flexion 1&2, G-3B012-DébitVisu, G-3B012-HydrauSys, G-5D003-Electronique & instrumentation associée, G-3D003-info, G-2B010, G-2B009, G-1D003-Salle du Conseil, G-2C006, G-2C004, G-4D008 TD-info, G-1C002-Amphi Coulomb, G-4D006 TD-info, G-2A005, G-3B001-info, G-2A003, G-2B001-info, G-3A014-info",20,807
