DATE,START-TIME,END-TIME,LOCATION
2021-09-01,07:15,19:15,G-0D006-Salle des forums
2021-09-01,07:15,17:15,G-2A003
2021-09-01,07:15,17:15,G-2A004
2021-09-01,07:15,17:15,G-2A005
2021-09-01,07:15,17:15,G-2C003
2021-09-01,07:15,17:15,G-2C004
2021-09-01,07:15,17:15,G-2C006
2021-09-01,07:15,17:15,G-2B002
2021-09-01,07:15,17:15,G-2B012
2021-09-01,07:15,17:15,G-2B013
2021-09-01,07:15,17:15,G-2B010
2021-09-01,07:15,17:15,G-2C001
2021-09-01,07:15,17:15,G-2C002
2021-09-01,07:15,17:15,G-2C007
2021-09-01,08:00,19:00,G-2C008
2021-09-01,09:00,12:00,G-0B007-Amphi Bergès
2021-09-01,09:30,10:15,G-1C002-Amphi Coulomb
2021-09-01,10:15,12:15,G-4D006
2021-09-01,10:15,12:15,G-4D003
2021-09-01,13:30,15:30,G-4D003
2021-09-01,13:30,15:30,G-4D006
2021-09-01,13:30,14:30,G-2A007-info
2021-09-01,14:30,15:30,G-2A007-info
2021-09-02,07:00,18:00,G-2C008
2021-09-02,07:15,17:15,G-2A003
2021-09-02,07:15,17:15,G-2A004
2021-09-02,07:15,17:15,G-2A005
2021-09-02,07:15,17:15,G-2C003
2021-09-02,07:15,17:15,G-2C004
2021-09-02,07:15,17:15,G-2C006
2021-09-02,07:15,17:15,G-2B002
2021-09-02,07:15,17:15,G-2B012
2021-09-02,07:15,17:15,G-2B013
2021-09-02,07:15,17:15,G-2B010
2021-09-02,07:15,17:15,G-2C001
2021-09-02,07:15,17:15,G-2C002
2021-09-02,07:15,17:15,G-2C007
2021-09-02,07:15,19:15,G-0D006-Salle des forums
2021-09-02,08:00,10:00,G-4D006
2021-09-02,09:00,09:45,G-1C004
2021-09-02,09:00,10:00,G-1C002-Amphi Coulomb
2021-09-02,09:15,10:45,G-1C003
2021-09-02,10:15,11:15,G-2B001-info
2021-09-02,10:15,11:15,G-2C005-info
2021-09-02,10:15,11:15,G-2A007-info
2021-09-02,10:15,12:15,G-4D006
2021-09-02,10:30,12:00,G-4D003
2021-09-02,11:00,12:00,G-4D008
2021-09-02,13:30,15:30,G-2C005-info
2021-09-02,13:30,15:30,G-4D003
2021-09-02,13:30,15:30,G-4D006
2021-09-02,15:45,17:45,G-4D006
2021-09-02,15:45,17:45,G-4D003
2021-09-03,07:00,18:00,G-2C008
2021-09-03,07:15,19:15,G-0D006-Salle des forums
2021-09-03,07:15,17:15,G-2A003
2021-09-03,07:15,17:15,G-2A004
2021-09-03,07:15,17:15,G-2A005
2021-09-03,07:15,17:15,G-2C003
2021-09-03,07:15,17:15,G-2C004
2021-09-03,07:15,17:15,G-2C006
2021-09-03,07:15,17:15,G-2B002
2021-09-03,07:15,17:15,G-2B012
2021-09-03,07:15,17:15,G-2B013
2021-09-03,07:15,17:15,G-2B010
2021-09-03,07:15,17:15,G-2C001
2021-09-03,07:15,17:15,G-2C002
2021-09-03,07:15,17:15,G-2C007
2021-09-03,08:00,10:00,G-2C005-info
2021-09-03,09:30,12:00,G-1C004
2021-09-03,10:15,12:15,G-4D006
